companyName,vtaNumber,email,pec,phoneNumber,registrationDate,lastContactDate,revenue
Reallinks,757853,pvandale0@networksolutions.com,egrossier0@sakura.ne.jp,5782707221,2019-04-26,2022-05-23,38062.36
Voomm,530820,rtregona1@gizmodo.com,kchatell1@exblog.jp,4522742576,2019-01-17,2022-06-05,87481.38
Dabvine,187285,schafney2@earthlink.net,sstoeck2@umn.edu,4524101578,2019-11-10,2019-04-22,27934.85
Thoughtbridge,184241,ldrejer3@google.cn,bmcnelly3@comcast.net,6258752035,2018-08-16,2020-03-29,9314.01
Yakidoo,903674,emenego4@goo.gl,gcritoph4@lycos.com,6841883727,2021-02-25,2019-05-23,69974.65
Chatterbridge,580885,estansbury5@army.mil,earthey5@vimeo.com,7404618932,2021-11-13,2019-11-01,22265.62
Realbuzz,492114,skinzett6@imdb.com,sfish6@smh.com.au,1129181330,2021-07-09,2018-12-24,99751.98
Blogpad,454977,hcrum7@typepad.com,rcristea7@huffingtonpost.com,6731464841,2019-06-30,2020-02-20,78525.04
Topicstorm,816687,vrodger8@bloglovin.com,ybecom8@virginia.edu,5201042050,2018-03-03,2021-01-06,97560.47
InnoZ,270828,mmcclean9@sohu.com,wsexti9@webnode.com,5526973423,2018-08-03,2020-11-30,70360.26
Wordpedia,688530,lbarshama@taobao.com,amcneisha@furl.net,6474513110,2021-05-02,2019-11-26,83454.91
Rhynoodle,767531,bbelwardb@fotki.com,rpretleyb@cyberchimps.com,3322082476,2022-01-13,2017-06-13,66852.18
Blogtags,682081,vlinforthc@issuu.com,kportchc@admin.ch,8839352569,2022-05-13,2020-07-11,3081.83
Feedfish,249548,csouthcombed@simplemachines.org,gstadingd@time.com,6708063572,2020-11-20,2020-10-02,64897.62
Twinte,153026,cboottone@arstechnica.com,dplye@cargocollective.com,8225872092,2022-03-16,2019-12-30,16764.61
Yata,763086,iaronsf@cbsnews.com,kleleuf@dailymail.co.uk,3673777570,2020-07-19,2022-05-14,50870.56
Photolist,911021,nrowlandg@loc.gov,edorrang@tripod.com,2106965532,2019-11-11,2018-07-28,24238.94
Yadel,841706,ostotherth@hubpages.com,lnanoh@adobe.com,9583944314,2018-03-29,2018-05-17,97930.06
Pixonyx,412725,bponsfordi@facebook.com,krizzelloi@seesaa.net,6354502681,2017-11-13,2019-05-31,28316.92
Edgeclub,690414,dhighwoodj@wordpress.com,aflemingj@wsj.com,5552163187,2019-07-22,2018-05-15,88357.0
Yakitri,356542,btiernank@google.ca,gnassik@ask.com,8039521663,2018-07-24,2017-08-25,34403.48
Mydo,396574,cburnittl@imdb.com,mneisingl@illinois.edu,2436001271,2021-11-25,2020-12-24,7822.69
Devcast,674921,huttingm@sitemeter.com,acrottaghm@tinyurl.com,1777037769,2018-07-29,2020-03-19,24788.12
Zoonder,695659,ncheavinn@cnn.com,mrubanenkon@list-manage.com,4574037717,2021-06-21,2018-06-12,11301.22
Photospace,757816,akittredgeo@google.it,lmargramo@example.com,2372188350,2019-10-26,2018-01-30,58143.0
Meezzy,676011,domoylanep@photobucket.com,cfoulksp@over-blog.com,7177050227,2018-04-14,2017-06-13,82332.06
Demivee,789540,pemmanuelq@mozilla.org,hbygateq@sfgate.com,9284953263,2018-08-16,2017-08-15,22908.07
Avamba,904197,toverelr@nbcnews.com,vtaddr@dailymotion.com,6425933227,2019-10-17,2018-04-03,48257.34
Devpoint,670042,dbradbrooks@moonfruit.com,gsturrors@acquirethisname.com,5993144508,2020-04-11,2019-11-12,40743.22
Latz,667500,vmacekt@acquirethisname.com,bklausewitzt@tripadvisor.com,3033912223,2020-09-25,2020-12-07,48714.45
